
time 00h 01m 00s, episodes 115, frames 0.0M, mean episode_rewards 1.55, run loss 12.40
time 00h 02m 00s, episodes 255, frames 0.1M, mean episode_rewards 1.31, run loss 2.16
time 00h 03m 00s, episodes 394, frames 0.1M, mean episode_rewards 1.27, run loss 0.92
time 00h 04m 00s, episodes 526, frames 0.1M, mean episode_rewards 1.29, run loss 0.64
time 00h 05m 00s, episodes 658, frames 0.2M, mean episode_rewards 1.34, run loss 1.12
time 00h 06m 00s, episodes 785, frames 0.2M, mean episode_rewards 1.33, run loss 0.39
time 00h 07m 00s, episodes 909, frames 0.2M, mean episode_rewards 1.40, run loss 0.90
time 00h 08m 01s, episodes 1038, frames 0.3M, mean episode_rewards 1.39, run loss 1.41
time 00h 09m 01s, episodes 1162, frames 0.3M, mean episode_rewards 1.31, run loss -0.40
time 00h 10m 01s, episodes 1282, frames 0.3M, mean episode_rewards 1.47, run loss 0.46
time 00h 11m 01s, episodes 1405, frames 0.3M, mean episode_rewards 1.43, run loss 0.26
time 00h 12m 02s, episodes 1532, frames 0.4M, mean episode_rewards 1.31, run loss 0.77
time 00h 13m 02s, episodes 1660, frames 0.4M, mean episode_rewards 1.31, run loss 0.13
time 00h 14m 02s, episodes 1783, frames 0.4M, mean episode_rewards 1.40, run loss 0.61
time 00h 15m 02s, episodes 1907, frames 0.5M, mean episode_rewards 1.41, run loss 0.80
time 00h 16m 02s, episodes 2022, frames 0.5M, mean episode_rewards 1.62, run loss 1.22
time 00h 17m 02s, episodes 2143, frames 0.5M, mean episode_rewards 1.48, run loss -0.35
time 00h 18m 02s, episodes 2262, frames 0.6M, mean episode_rewards 1.52, run loss -0.04
time 00h 19m 02s, episodes 2395, frames 0.6M, mean episode_rewards 1.35, run loss 0.07
time 00h 20m 03s, episodes 2519, frames 0.6M, mean episode_rewards 1.52, run loss 0.96
time 00h 21m 03s, episodes 2648, frames 0.7M, mean episode_rewards 1.41, run loss 0.13
time 00h 22m 03s, episodes 2777, frames 0.7M, mean episode_rewards 1.36, run loss 0.07
time 00h 23m 03s, episodes 2903, frames 0.7M, mean episode_rewards 1.30, run loss 0.20
time 00h 24m 04s, episodes 3025, frames 0.8M, mean episode_rewards 1.31, run loss -1.08
time 00h 25m 04s, episodes 3146, frames 0.8M, mean episode_rewards 1.52, run loss -0.02
time 00h 26m 04s, episodes 3272, frames 0.8M, mean episode_rewards 1.59, run loss 0.67
time 00h 27m 04s, episodes 3382, frames 0.9M, mean episode_rewards 1.72, run loss 0.11
time 00h 28m 04s, episodes 3500, frames 0.9M, mean episode_rewards 1.69, run loss 0.03
time 00h 29m 04s, episodes 3615, frames 0.9M, mean episode_rewards 1.83, run loss -0.70
time 00h 30m 05s, episodes 3730, frames 0.9M, mean episode_rewards 1.91, run loss -0.93
time 00h 31m 05s, episodes 3843, frames 1.0M, mean episode_rewards 1.86, run loss -0.99
time 00h 32m 05s, episodes 3961, frames 1.0M, mean episode_rewards 1.84, run loss -1.54
time 00h 33m 05s, episodes 4077, frames 1.0M, mean episode_rewards 1.83, run loss -2.41
time 00h 34m 05s, episodes 4192, frames 1.1M, mean episode_rewards 1.96, run loss -2.00
time 00h 35m 05s, episodes 4296, frames 1.1M, mean episode_rewards 2.15, run loss -1.64
time 00h 36m 05s, episodes 4402, frames 1.1M, mean episode_rewards 2.20, run loss -1.80
time 00h 37m 05s, episodes 4510, frames 1.2M, mean episode_rewards 2.07, run loss -2.47
time 00h 38m 06s, episodes 4626, frames 1.2M, mean episode_rewards 1.93, run loss -1.94
time 00h 39m 06s, episodes 4736, frames 1.2M, mean episode_rewards 1.99, run loss -1.32
time 00h 40m 06s, episodes 4847, frames 1.3M, mean episode_rewards 2.06, run loss -1.79
time 00h 41m 06s, episodes 4958, frames 1.3M, mean episode_rewards 2.02, run loss -2.44
time 00h 42m 07s, episodes 5069, frames 1.3M, mean episode_rewards 1.99, run loss -1.84
time 00h 43m 07s, episodes 5183, frames 1.4M, mean episode_rewards 1.89, run loss -1.29
time 00h 44m 07s, episodes 5295, frames 1.4M, mean episode_rewards 1.97, run loss -1.90
time 00h 45m 07s, episodes 5402, frames 1.4M, mean episode_rewards 2.08, run loss -2.03
time 00h 46m 07s, episodes 5510, frames 1.5M, mean episode_rewards 2.13, run loss -1.45
time 00h 47m 07s, episodes 5623, frames 1.5M, mean episode_rewards 2.09, run loss -1.61
time 00h 48m 07s, episodes 5730, frames 1.5M, mean episode_rewards 2.21, run loss -1.25
time 00h 49m 07s, episodes 5841, frames 1.5M, mean episode_rewards 2.11, run loss -1.75
time 00h 50m 08s, episodes 5952, frames 1.6M, mean episode_rewards 2.15, run loss -1.36
time 00h 51m 08s, episodes 6059, frames 1.6M, mean episode_rewards 2.22, run loss -1.56
time 00h 52m 08s, episodes 6159, frames 1.6M, mean episode_rewards 2.58, run loss -0.52
time 00h 53m 08s, episodes 6268, frames 1.7M, mean episode_rewards 2.46, run loss -1.54
